IN_FID	NEAR_FID	NEAR_DIST	reserve	vegetation
5865	141	97.64134174830	Bruce Ridge NR	Forest
5866	98	83.84845616600	Bruce Ridge NR	Forest
5866	138	82.69523046320	Bruce Ridge NR	Forest
5866	139	46.56885546140	Bruce Ridge NR	Forest
5867	223	16.61845967010	Bruce Ridge NR	Forest
5868	76	46.13799657770	Bruce Ridge NR	Open Forest
5868	138	69.61662106180	Bruce Ridge NR	Open Forest
5868	149	90.58852720040	Bruce Ridge NR	Open Forest
5868	164	90.61459714640	Bruce Ridge NR	Open Forest
5869	98	39.47476683810	Bruce Ridge NR	Forest
5869	139	2.53859192751	Bruce Ridge NR	Forest
5870	76	67.78527081710	Bruce Ridge NR	Open Forest
5870	138	46.78970780270	Bruce Ridge NR	Open Forest
5870	149	41.58146984480	Bruce Ridge NR	Open Forest
5870	164	46.78970780230	Bruce Ridge NR	Open Forest
5871	126	91.86613842210	Bruce Ridge NR	Open Forest
5871	158	12.62306924480	Bruce Ridge NR	Open Forest
5872	215	96.43355427590	Bruce Ridge NR	Open Forest
5873	139	27.42859352580	Bruce Ridge NR	Open Forest
5874	207	33.70288397040	Bruce Ridge NR	Open Forest
5874	208	30.84275640770	Bruce Ridge NR	Open Forest
5874	219	15.86742231810	Bruce Ridge NR	Open Forest
5875	138	94.01793825720	Bruce Ridge NR	Open Forest
5875	126	55.78951262580	Bruce Ridge NR	Open Forest
